Player,Salary,Points,Rebounds,Assists
Aaron Gordon,21590909,15.8,7.6,3.3
Aaron Holiday,1911960,5.1,1.4,1.4
Abdel Nader,1378242,3.6,1.4,0.2
Al Horford,28928710,12.1,6.2,3.6
Al Jefferson,4000000,0,0,0
Alec Burks,11536515,10.3,3.8,2.1
Alex Abrines,5455236,5.6,1.6,0.7
Alex Len,4350000,10.6,5.8,1
Alexis Ajinca,5285394,0,0,0
Al-Farouq Aminu,6957105,9.7,8.2,1.1
Alfonzo McKinnie,1349383,5.2,3.8,0.4
Alize Johnson,838464,0.6,0.8,0
Allen Crabbe,18500000,9.5,3.5,1.1
Allonzo Trier,3382000,9.8,2.8,1.8
Amir Johnson,2393887,3.7,2.5,1.1
Anderson Varejao,1913345,0,0,0
Andre Drummond,25434263,16.3,14.9,1.2
Andre Iguodala,16000000,5.6,3.8,3
Andre Roberson,10000000,0,0,0
Andrew Nicholson,2844429,0,0,0
Andrew Wiggins,25467250,17.5,4.3,2.2
Anfernee Simons,1835520,1.5,0.7,0.4
Ante Zizic,1952760,5.9,4.1,0.5
Anthony Davis,25434263,29.3,13.3,4.4
Anthony Tolliver,5750000,4.5,2.1,0.6
Antonio Blakeney,1349383,8.6,1.8,0.5
Aron Baynes,5193600,5.6,4.5,1.2
Austin Rivers,12650000,8.9,2.6,2.5
Avery Bradley,12000000,7.7,2.5,2
Bam Adebayo,2955840,7.9,6.7,2.1
Ben McLemore,5460000,3.6,0.8,0.2
Ben Simmons,6434520,16.6,9.5,8.2
Bismack Biyombo,17000000,4.6,5,0.5
Blake Griffin,32088932,26,8.1,5.3
Boban Marjanovic,7000000,6.6,4,0.6
Bobby Portis,2494346,12.5,7.5,1.4
Bogdan Bogdanovic,9000000,15.2,3.5,3.9
Bojan Bogdanovic,10500000,16,4.1,1.7
Brad Wanamaker,838464,3.3,0.9,1.5
Bradley Beal,25434263,24.9,5,5
Brandon Ingram,5757120,16.3,4.9,2.9
Brandon Knight,14631250,3,0.8,0.8
Brook Lopez,3382000,12,3.9,1
Bruce Brown,838464,5.1,2.9,1.4
Bryn Forbes,3125000,12.1,2.8,2.2
Buddy Hield,3833760,20.5,4.9,2.2
C.J. Miles,8333333,5.2,1.7,0.6
C.J. Watson,333333,0,0,0
Caleb Swanigan,1740000,1.9,3.1,0.4
Caris LeVert,1702800,18.4,4.3,3.7
Carlos Delfino,650000,0,0,0
Carmelo Anthony,25534253,13.4,5.4,0.5
Caron Butler,517219,0,0,0
Cedi Osman,2775000,11.7,4.6,2.1
Chandler Hutchison,1991520,5,3.8,0.7
Chandler Parsons,24107258,5.7,1.3,0.7
Channing Frye,2393887,3.5,1.4,0.5
Chasson Randle,869094,6.1,1.3,1.9
Cheick Diallo,1544951,3.3,3.5,0.3
Chimezie Metu,838464,2.3,1.4,0.6
Chinanu Onuaku,1544951,0,0,0
Chris Bosh,26837720,0,0,0
Chris Paul,35654150,15.6,4,8
Christian Wood,1512601,4.2,2.7,0.3
CJ McCollum,25759766,20.6,3.8,2.6
Clint Capela,15293104,17.6,12.6,1.5
Cody Zeller,13528090,9.3,6.2,2.1
Cole Aldrich,685341,0,0,0
Collin Sexton,4068600,14.5,3,2.9
Cory Joseph,7945000,7.2,3.5,3.8
Courtney Lee,12253780,5.3,2.4,1.4
Cristiano Felicio,8470980,3,2.8,0.5
D.J. Augustin,7250000,11.6,2.1,4.8
D.J. Wilson,2534280,6.6,5.2,1
Dakari Johnson,459414,0,0,0
Damian Jones,1544951,5.4,3.1,1.2
Damian Lillard,27977689,26.1,4.4,6.1
Damyean Dotson,1378242,9.7,3.7,1.3
D'Angelo Russell,7019698,19,3.7,6.4
Daniel Hamilton,1349383,3.3,2.6,1.3
Daniel Theis,1378242,6.6,4.1,1.1
Danilo Gallinari,21587579,19,6,2.5
Danny Green,10000000,10,4.3,1.3
Dante Cunningham,2500000,3.6,3.7,0.9
Dante Exum,9600000,7.4,1.7,2.7
Dario Saric,2526840,10.3,5.7,1.6
Darius Miller,2205000,7,1.5,1.6
Darrell Arthur,7464912,0,0,0
Darren Collison,10000000,9.5,2.9,5.6
David Nwaba,1512601,6,2.8,0.7
Davis Bertans,7000000,7.7,3.5,1.1
Davon Reed,1378242,0,0,0
De'Aaron Fox,5470920,17.6,3.6,7.3
Deandre Ayton,8165160,16.4,10.6,2
DeAndre' Bembry,1634640,8.9,4.4,2.6
DeAndre Jordan,22900000,11,13.9,2
De'Anthony Melton,949000,5.6,2.7,3.5
Dejounte Murray,1544951,0,0,0
Delon Wright,2536898,6.7,2.5,2.2
DeMar DeRozan,27739975,21.4,6.1,6.4
DeMarcus Cousins,5337000,14,6,3
DeMarre Carroll,15400000,10.9,5.1,1.1
Demetrius Jackson,92857,3.7,0.5,0.8
Dennis Schroder,15500000,15.4,3.6,4.3
Dennis Smith,3819960,12.6,2.6,3.9
Denzel Valentine,2280600,0,0,0
Deron Williams,5474787,0,0,0
Derrick Favors,16900000,11.2,7.2,1
Derrick Jones,1512601,7.2,4.3,0.5
Derrick Rose,2176260,19.3,2.9,4.8
Derrick White,1667160,8.8,3.3,3.5
Devin Booker,3314365,24.5,3.7,7
Devin Harris,2393887,6.2,1.6,1.2
Devonte' Graham,988464,4.2,1.1,2.2
Dewayne Dedmon,7200000,9.7,7.4,1.3
Deyonta Davis,1544951,0,0,0
Dillon Brooks,1378242,7.5,1.7,0.9
Dion Waiters,11550000,8.3,2.4,2
Dirk Nowitzki,5000000,3.5,1.9,0.4
Domantas Sabonis,2659800,15,9.6,2.9
Donovan Mitchell,3111480,21.7,3.6,3.7
Donte DiVincenzo,2481000,4.8,2.4,1.2
Dorian Finney-Smith,1544951,7.5,4.4,0.7
Doug McDermott,7333334,6.7,1.3,0.8
Dragan Bender,4661280,2.5,1.9,0.6
Draymond Green,17469565,7.2,7.8,7.3
Dwayne Bacon,1378242,4.6,1.5,0.7
Dwight Howard,18919725,12.8,9.2,0.4
Dwight Powell,9631250,8.7,4.2,1
Dwyane Wade,2393887,14,3.7,4.1
Dzanan Musa,1632240,1.7,0.4,0.1
Ed Davis,4449000,5.8,8.5,0.7
Ekpe Udoh,3360000,1.9,1.2,0.4
Elfrid Payton,3000000,10.3,3.8,5.7
Elie Okobo,1238464,6.1,1.8,2.4
Emmanuel Mudiay,4294480,14.8,3.1,4
Enes Kanter,18622514,14.4,11,2
Eric Bledsoe,15000000,15.7,4.4,5.6
Eric Gordon,13500375,16.2,2.5,2.2
Ersan Ilyasova,7000000,7.2,5,1
E'Twaun Moore,8808685,12.8,2.5,2.1
Evan Fournier,17000000,14.8,3.1,3.6
Evan Turner,17868852,8,4.8,4
Festus Ezeli,333333,0,0,0
Frank Jackson,1378242,4.8,1,0.7
Frank Kaminsky,3627842,5.6,2.5,1.1
Frank Mason,1378242,4.9,1.2,2.6
Frank Ntilikina,4155720,6,1.9,2.6
Fred VanVleet,8653847,10.2,2.6,4.5
Furkan Korkmaz,1740000,6,2.5,1.2
Garlon Green,50000,0,0,0
Garrett Temple,8000000,9.7,3,1.3
Gary Harris,16517857,15.5,3.1,2.7
Gary Trent,838464,2,0.6,0.1
George Hill,19000000,7.8,2.3,2.5
Georges Niang,1512601,3.1,1.1,0.5
Georgios Papagiannis,2000400,0,0,0
Gerald Green,2393887,9.2,2.8,0.5
Giannis Antetokounmpo,24157304,26.4,12.5,6
Glenn Robinson,4075000,4.4,1.4,0.5
Goran Dragic,18109175,15.3,3.1,4.9
Gordon Hayward,31214295,11,4.7,3.6
Gorgui Dieng,15170787,5.4,4,0.8
Grayson Allen,2074320,4.6,0.3,0.7
Greg Monroe,2165481,5.2,4.3,0.4
Guerschon Yabusele,2667600,1.9,1,0.4
Hamidou Diallo,838464,4.4,2.2,0.4
Harrison Barnes,24107258,18.1,4.2,1.1
Harry Giles,2207040,5.6,3.4,1.5
Hassan Whiteside,25434263,12.5,12.3,0.8
Henry Ellenson,1857480,6,4.5,0.5
Ian Clark,1757429,3.7,1.4,1.3
Ian Mahinmi,15944154,4.2,3.6,0.8
